ASCII data file with an example of radar Doppler data from a single dwell
Measurements are from the Thales X-Band weather radar, 
installed at the Toulouse Blagnac airport during the UFO measurement campaign.
First dwell from the file WX_DOP_ROT_20140424_WF12_TUD.h5
which is the same as the first dwell from the file WX_DOP_ROT_140424140843_WF12

Azimuth     : 3.130000114440918 rad (measured clockwise from the Geographic North Pole)
Elevation   : 0.11299999803304672 rad (measured from the horizon (0 rad) upwards)
Lat         : 43.617555
Lon         : 1.387444
Height      : 168.0 m
FREQ        : 9502 MHz
vel_amb     : 63.1 ms-1

slant range : Slant range (meter) to the leading edge of the range bins.
power       : Uncalibrated power
rad_vel     : Radial Doppler velocity estimated from the Doppler phase shift


slant_range    power          rad_vel        
1.790e+04      5.300e+01      6.200e+00      
1.800e+04      5.000e+01      5.930e+00      
1.810e+04      5.050e+01      6.240e+00      
1.830e+04      5.250e+01      6.720e+00      
1.840e+04      5.200e+01      6.430e+00      
1.850e+04      5.650e+01      7.050e+00      
1.860e+04      5.200e+01      7.040e+00      
1.870e+04      5.350e+01      6.860e+00      
1.880e+04      4.950e+01      6.700e+00      
1.890e+04      4.350e+01      5.810e+00      
1.900e+04      5.600e+01      6.930e+00      
1.910e+04      5.150e+01      6.900e+00      
1.920e+04      5.100e+01      6.270e+00      
1.930e+04      5.150e+01      6.690e+00      
1.950e+04      5.000e+01      7.130e+00      
1.960e+04      4.700e+01      7.110e+00      
1.970e+04      5.150e+01      6.650e+00      
1.980e+04      4.500e+01      6.340e+00      
1.990e+04      4.900e+01      6.780e+00      
2.000e+04      4.850e+01      5.540e+00      
2.010e+04      5.100e+01      7.270e+00      
2.020e+04      5.400e+01      7.170e+00      
2.030e+04      4.750e+01      7.100e+00      
2.040e+04      5.100e+01      7.230e+00      
2.050e+04      4.650e+01      6.700e+00      
2.060e+04      5.100e+01      6.950e+00      
2.080e+04      5.150e+01      6.870e+00      
2.090e+04      5.250e+01      6.680e+00      
2.100e+04      5.150e+01      6.520e+00      
2.110e+04      5.400e+01      6.650e+00      
2.120e+04      5.150e+01      6.690e+00      
2.130e+04      5.600e+01      6.060e+00      
2.140e+04      5.350e+01      6.480e+00      
2.150e+04      5.350e+01      6.560e+00      
2.160e+04      5.250e+01      7.450e+00      
2.170e+04      5.300e+01      6.570e+00      
2.180e+04      5.650e+01      7.050e+00      
2.190e+04      5.200e+01      6.240e+00      
2.210e+04      5.200e+01      6.510e+00      
2.220e+04      5.700e+01      6.550e+00      
2.230e+04      5.600e+01      6.600e+00      
2.240e+04      5.050e+01      7.000e+00      
2.250e+04      5.300e+01      6.790e+00      
2.260e+04      5.900e+01      6.860e+00      
2.270e+04      5.500e+01      6.650e+00      
2.280e+04      5.700e+01      6.860e+00      
2.290e+04      5.550e+01      7.090e+00      
2.300e+04      5.800e+01      7.030e+00      
2.310e+04      5.550e+01      7.050e+00      
2.320e+04      5.600e+01      6.430e+00      
2.340e+04      5.800e+01      7.370e+00      
2.350e+04      5.750e+01      7.230e+00      
2.360e+04      5.850e+01      7.070e+00      
2.370e+04      6.100e+01      6.750e+00      
2.380e+04      5.250e+01      7.140e+00      
2.390e+04      5.200e+01      6.490e+00      
2.400e+04      5.300e+01      6.950e+00      
2.410e+04      5.750e+01      7.170e+00      
2.420e+04      5.400e+01      6.730e+00      
2.430e+04      5.150e+01      7.490e+00      
2.440e+04      5.600e+01      6.520e+00      
2.450e+04      5.850e+01      7.050e+00      
2.470e+04      5.600e+01      7.050e+00      
2.480e+04      5.200e+01      6.410e+00      
2.490e+04      5.300e+01      6.880e+00      
2.500e+04      5.250e+01      7.180e+00      
2.510e+04      5.550e+01      6.790e+00      
2.520e+04      5.800e+01      6.770e+00      
2.530e+04      5.550e+01      7.510e+00      
2.540e+04      5.300e+01      7.270e+00      
2.550e+04      5.500e+01      7.720e+00      
2.560e+04      5.150e+01      7.300e+00      
2.570e+04      5.550e+01      7.390e+00      
2.590e+04      5.650e+01      7.360e+00      
2.600e+04      5.350e+01      7.760e+00      
2.610e+04      5.500e+01      7.370e+00      
2.620e+04      5.750e+01      7.430e+00      
2.630e+04      5.050e+01      6.870e+00      
2.640e+04      5.500e+01      7.290e+00      
2.650e+04      5.400e+01      6.930e+00      
2.660e+04      5.450e+01      6.730e+00      
2.670e+04      5.200e+01      6.980e+00      
2.680e+04      5.600e+01      6.740e+00      
2.690e+04      5.750e+01      7.640e+00      
2.700e+04      5.350e+01      7.140e+00      
2.720e+04      5.700e+01      7.400e+00      
2.730e+04      5.600e+01      7.270e+00      
2.740e+04      5.150e+01      7.140e+00      
2.750e+04      5.100e+01      7.410e+00      
2.760e+04      5.150e+01      6.950e+00      
2.770e+04      5.750e+01      6.900e+00      
2.780e+04      5.550e+01      7.160e+00      
2.790e+04      5.200e+01      7.480e+00      
2.800e+04      5.750e+01      7.290e+00      
2.810e+04      5.150e+01      7.570e+00      
2.820e+04      5.500e+01      7.270e+00      
2.830e+04      4.900e+01      6.480e+00      
2.850e+04      5.300e+01      7.200e+00      
2.860e+04      5.600e+01      7.430e+00      
2.870e+04      5.450e+01      6.860e+00      
2.880e+04      5.250e+01      7.580e+00      
2.890e+04      5.350e+01      7.380e+00      
2.900e+04      4.900e+01      7.240e+00      
2.910e+04      5.300e+01      7.000e+00      
2.920e+04      5.500e+01      6.570e+00      
2.930e+04      5.400e+01      7.100e+00      
2.940e+04      5.350e+01      6.960e+00      
2.950e+04      5.700e+01      6.650e+00      
2.960e+04      4.950e+01      7.150e+00      
2.980e+04      5.400e+01      6.490e+00      
2.990e+04      5.300e+01      6.770e+00      
3.000e+04      5.300e+01      6.850e+00      
3.010e+04      5.200e+01      6.650e+00      
3.020e+04      5.350e+01      6.380e+00      
3.030e+04      5.750e+01      6.460e+00      
3.040e+04      4.950e+01      5.900e+00      
3.050e+04      5.450e+01      6.110e+00      
3.060e+04      5.400e+01      6.340e+00      
3.070e+04      5.000e+01      6.180e+00      
3.080e+04      5.300e+01      5.720e+00      
3.100e+04      5.250e+01      5.800e+00      
3.110e+04      5.150e+01      6.360e+00      
3.120e+04      5.200e+01      6.800e+00      
3.130e+04      5.500e+01      6.810e+00      
3.140e+04      5.550e+01      6.020e+00      
3.150e+04      5.450e+01      6.460e+00      
3.160e+04      5.700e+01      5.790e+00      
3.170e+04      5.750e+01      6.060e+00      
3.180e+04      5.500e+01      5.870e+00      
3.190e+04      5.550e+01      6.130e+00      
3.200e+04      5.550e+01      5.870e+00      
3.210e+04      5.600e+01      5.860e+00      
3.230e+04      4.800e+01      5.960e+00      
3.240e+04      5.400e+01      6.800e+00      
3.250e+04      5.450e+01      6.080e+00      
3.260e+04      5.450e+01      6.130e+00      
3.270e+04      5.650e+01      5.700e+00      
3.280e+04      5.500e+01      6.150e+00      
3.290e+04      4.800e+01      5.960e+00      
3.300e+04      5.500e+01      5.770e+00      
